                 cnd  |                root  |      Central Neutron Detector  |                       0*cm 0*cm (-2.185+2.714)*cm  |                                   0 0 0  | 33bb99   |                Tube  |                   28.95*cm 38.56*cm 39.578*cm 0*deg 360*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
 CND_Layer1_Paddle_1  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 1  |                               0*cm 0*cm -6.242*cm  |                       0*deg 0*deg 0*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |     1   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |          layer manual 1 paddle manual 1 
 CND_Layer1_Paddle_2  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 2  |                               0*cm 0*cm -6.242*cm  |                      0*deg 0*deg 15*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |     2   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |          layer manual 1 paddle manual 2 
 CND_Layer1_Paddle_3  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 3  |                               0*cm 0*cm -6.242*cm  |                      0*deg 0*deg 15*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |     3   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |          layer manual 1 paddle manual 3 
 CND_Layer1_Paddle_4  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 4  |                               0*cm 0*cm -6.242*cm  |                      0*deg 0*deg 30*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |     4   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |          layer manual 1 paddle manual 4 
 CND_Layer1_Paddle_5  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 5  |                               0*cm 0*cm -6.242*cm  |                      0*deg 0*deg 30*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |     5   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |          layer manual 1 paddle manual 5 
 CND_Layer1_Paddle_6  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 6  |                               0*cm 0*cm -6.242*cm  |                      0*deg 0*deg 45*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |     6   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |          layer manual 1 paddle manual 6 
 CND_Layer1_Paddle_7  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 7  |                               0*cm 0*cm -6.242*cm  |                      0*deg 0*deg 45*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |     7   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |          layer manual 1 paddle manual 7 
 CND_Layer1_Paddle_8  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 8  |                               0*cm 0*cm -6.242*cm  |                      0*deg 0*deg 60*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |     8   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |          layer manual 1 paddle manual 8 
 CND_Layer1_Paddle_9  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 9  |                               0*cm 0*cm -6.242*cm  |                      0*deg 0*deg 60*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |     9   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |          layer manual 1 paddle manual 9 
CND_Layer1_Paddle_10  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 10  |                               0*cm 0*cm -6.242*cm  |                      0*deg 0*deg 75*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |    10   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 10 
CND_Layer1_Paddle_11  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 11  |                               0*cm 0*cm -6.242*cm  |                      0*deg 0*deg 75*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |    11   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 11 
