                ctof  |                root  |     Central TOF Mother Volume  |                                  0*cm 0.0*cm 0*mm  |                       0*deg 0*deg 0*deg  | 000000   |                Tube  |                  25*cm 28.3496*cm 32.99968*cm 0*deg 360*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
           paddle_01  |                ctof  |Central TOF Scintillator number 1  |                           26.675*cm 0.000*cm 0*cm  |                     90*deg 90*deg 0*deg  | 66bbff   |                 Trd  |     1.77165*cm 1.57226*cm 32.99968*cm 32.99968*cm 1.5748*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                         paddle manual 1 
           paddle_02  |                ctof  |Central TOF Scintillator number 2  |                           26.464*cm 3.343*cm 0*cm  |                   90*deg 97.2*deg 0*deg  | 66bbff   |                 Trd  |     1.77165*cm 1.57226*cm 32.99968*cm 32.99968*cm 1.5748*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                         paddle manual 2 
           paddle_03  |                ctof  |Central TOF Scintillator number 3  |                           25.837*cm 6.634*cm 0*cm  |                  90*deg 104.4*deg 0*deg  | 66bbff   |                 Trd  |     1.77165*cm 1.57226*cm 32.99968*cm 32.99968*cm 1.5748*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                         paddle manual 3 
           paddle_04  |                ctof  |Central TOF Scintillator number 4  |                           24.802*cm 9.820*cm 0*cm  |                  90*deg 111.6*deg 0*deg  | 66bbff   |                 Trd  |     1.77165*cm 1.57226*cm 32.99968*cm 32.99968*cm 1.5748*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                         paddle manual 4 
           paddle_05  |                ctof  |Central TOF Scintillator number 5  |                          23.375*cm 12.851*cm 0*cm  |                  90*deg 118.8*deg 0*deg  | 66bbff   |                 Trd  |     1.77165*cm 1.57226*cm 32.99968*cm 32.99968*cm 1.5748*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                         paddle manual 5 
           paddle_06  |                ctof  |Central TOF Scintillator number 6  |                          21.580*cm 15.679*cm 0*cm  |                    90*deg 126*deg 0*deg  | 66bbff   |                 Trd  |     1.77165*cm 1.57226*cm 32.99968*cm 32.99968*cm 1.5748*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                         paddle manual 6 
           paddle_07  |                ctof  |Central TOF Scintillator number 7  |                          19.445*cm 18.260*cm 0*cm  |                  90*deg 133.2*deg 0*deg  | 66bbff   |                 Trd  |     1.77165*cm 1.57226*cm 32.99968*cm 32.99968*cm 1.5748*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                         paddle manual 7 
           paddle_08  |                ctof  |Central TOF Scintillator number 8  |                          17.003*cm 20.553*cm 0*cm  |                  90*deg 140.4*deg 0*deg  | 66bbff   |                 Trd  |     1.77165*cm 1.57226*cm 32.99968*cm 32.99968*cm 1.5748*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                         paddle manual 8 
           paddle_09  |                ctof  |Central TOF Scintillator number 9  |                          14.293*cm 22.522*cm 0*cm  |                  90*deg 147.6*deg 0*deg  | 66bbff   |                 Trd  |     1.77165*cm 1.57226*cm 32.99968*cm 32.99968*cm 1.5748*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                         paddle manual 9 
           paddle_10  |                ctof  |Central TOF Scintillator number 10  |                          11.358*cm 24.136*cm 0*cm  |                  90*deg 154.8*deg 0*deg  | 66bbff   |                 Trd  |     1.77165*cm 1.57226*cm 32.99968*cm 32.99968*cm 1.5748*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 10 
