          region1_s1  |                  fc  |CLAS12 Drift Chambers, Sector 1 Region 0  |                        97.5791*cm 0*cm 216.693*cm  |        ordered: zxy 90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |12.0492*cm -25*deg 90*deg 88.0396*cm 7.46567*cm 96.7272*cm 0*deg 88.0396*cm 7.46567*cm 96.7272*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s2  |                  fc  |CLAS12 Drift Chambers, Sector 2 Region 0  |                48.78955*cm 84.50598*cm 216.693*cm  |        ordered: zxy 30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |12.0492*cm -25*deg 90*deg 88.0396*cm 7.46567*cm 96.7272*cm 0*deg 88.0396*cm 7.46567*cm 96.7272*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s3  |                  fc  |CLAS12 Drift Chambers, Sector 3 Region 0  |               -48.78955*cm 84.50598*cm 216.693*cm  |       ordered: zxy -30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |12.0492*cm -25*deg 90*deg 88.0396*cm 7.46567*cm 96.7272*cm 0*deg 88.0396*cm 7.46567*cm 96.7272*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s4  |                  fc  |CLAS12 Drift Chambers, Sector 4 Region 0  |                       -97.5791*cm 0*cm 216.693*cm  |       ordered: zxy -90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |12.0492*cm -25*deg 90*deg 88.0396*cm 7.46567*cm 96.7272*cm 0*deg 88.0396*cm 7.46567*cm 96.7272*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s5  |                  fc  |CLAS12 Drift Chambers, Sector 5 Region 0  |              -48.78955*cm -84.50598*cm 216.693*cm  |      ordered: zxy -150*deg 25*deg 0*deg  | aa0000   |              G4Trap  |12.0492*cm -25*deg 90*deg 88.0396*cm 7.46567*cm 96.7272*cm 0*deg 88.0396*cm 7.46567*cm 96.7272*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s6  |                  fc  |CLAS12 Drift Chambers, Sector 6 Region 0  |               48.78955*cm -84.50598*cm 216.693*cm  |      ordered: zxy -210*deg 25*deg 0*deg  | aa0000   |              G4Trap  |12.0492*cm -25*deg 90*deg 88.0396*cm 7.46567*cm 96.7272*cm 0*deg 88.0396*cm 7.46567*cm 96.7272*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s1  |                  fc  |CLAS12 Drift Chambers, Sector 1 Region 1  |                        157.257*cm 0*cm 329.441*cm  |        ordered: zxy 90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |19.4452*cm -25*deg 90*deg 142.76*cm 8.25676*cm 156.61*cm 0*deg 142.76*cm 8.25676*cm 156.61*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s2  |                  fc  |CLAS12 Drift Chambers, Sector 2 Region 1  |                78.6285*cm 136.18856*cm 329.441*cm  |        ordered: zxy 30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |19.4452*cm -25*deg 90*deg 142.76*cm 8.25676*cm 156.61*cm 0*deg 142.76*cm 8.25676*cm 156.61*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s3  |                  fc  |CLAS12 Drift Chambers, Sector 3 Region 1  |               -78.6285*cm 136.18856*cm 329.441*cm  |       ordered: zxy -30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |19.4452*cm -25*deg 90*deg 142.76*cm 8.25676*cm 156.61*cm 0*deg 142.76*cm 8.25676*cm 156.61*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s4  |                  fc  |CLAS12 Drift Chambers, Sector 4 Region 1  |                       -157.257*cm 0*cm 329.441*cm  |       ordered: zxy -90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |19.4452*cm -25*deg 90*deg 142.76*cm 8.25676*cm 156.61*cm 0*deg 142.76*cm 8.25676*cm 156.61*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s5  |                  fc  |CLAS12 Drift Chambers, Sector 5 Region 1  |              -78.6285*cm -136.18856*cm 329.441*cm  |      ordered: zxy -150*deg 25*deg 0*deg  | aa0000   |              G4Trap  |19.4452*cm -25*deg 90*deg 142.76*cm 8.25676*cm 156.61*cm 0*deg 142.76*cm 8.25676*cm 156.61*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s6  |                  fc  |CLAS12 Drift Chambers, Sector 6 Region 1  |               78.6285*cm -136.18856*cm 329.441*cm  |      ordered: zxy -210*deg 25*deg 0*deg  | aa0000   |              G4Trap  |19.4452*cm -25*deg 90*deg 142.76*cm 8.25676*cm 156.61*cm 0*deg 142.76*cm 8.25676*cm 156.61*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s1  |                  fc  |CLAS12 Drift Chambers, Sector 1 Region 2  |                        213.616*cm 0*cm 418.679*cm  |        ordered: zxy 90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |22.23*cm -25*deg 90*deg 196.826*cm 17.3345*cm 218.16*cm 0*deg 196.826*cm 17.3345*cm 218.16*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s2  |                  fc  |CLAS12 Drift Chambers, Sector 2 Region 2  |                106.808*cm 184.99688*cm 418.679*cm  |        ordered: zxy 30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |22.23*cm -25*deg 90*deg 196.826*cm 17.3345*cm 218.16*cm 0*deg 196.826*cm 17.3345*cm 218.16*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s3  |                  fc  |CLAS12 Drift Chambers, Sector 3 Region 2  |               -106.808*cm 184.99688*cm 418.679*cm  |       ordered: zxy -30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |22.23*cm -25*deg 90*deg 196.826*cm 17.3345*cm 218.16*cm 0*deg 196.826*cm 17.3345*cm 218.16*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s4  |                  fc  |CLAS12 Drift Chambers, Sector 4 Region 2  |                       -213.616*cm 0*cm 418.679*cm  |       ordered: zxy -90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |22.23*cm -25*deg 90*deg 196.826*cm 17.3345*cm 218.16*cm 0*deg 196.826*cm 17.3345*cm 218.16*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
