           ft_shield  |                root  |       ft shield mother volume  |                                             0 0 0  |                                   0 0 0  | ff8000   |            Polycone  |0.0*deg 360*deg 4*counts 0*mm 0*mm 0*mm 0*mm 32*mm 76*mm 59*mm 59*mm 750*mm 1750*mm 1750*mm 1809.2*mm  |                 Air  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
           ft_w_cone  |           ft_shield  |              ft tungsten cone  |                                             0 0 0  |                                   0 0 0  | F88017   |            Polycone  |0.0*deg 360*deg 4*counts 30*mm 30*mm 30*mm 30*mm 32*mm 76*mm 59*mm 59*mm 750*mm 1750*mm 1750*mm 1809.2*mm  |            Tungsten  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          ft_al_tube  |           ft_shield  |         ft aluminum beam pipe  |                             0*mm 0.0*mm 1429.6*mm  |                                   0 0 0  | F2F2F2   |                Tube  |                    25.4*mm 26.4*mm 379.6*mm 0.*deg 360.*deg  |            Aluminum  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
        ft_al_window  |           ft_shield  |  ft aluminum beam pipe window  |                            0*mm 0.0*mm 1049.95*mm  |                       0*deg 0*deg 0*deg  | F2F2F2   |                Tube  |                      0.0*mm 26.4*mm 0.05*mm 0.*deg 360.*deg  |            Aluminum  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
   ft_albpipe_vacuum  |           ft_shield  |  ft aluminum beam pipe vacuum  |                             0*mm 0.0*mm 1429.6*mm  |                       0*deg 0*deg 0*deg  | ffffff   |                Tube  |                     0.0*mm 25.4*mm 379.6*mm 0.*deg 360.*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
              ft_cal  |                root  |                ft calorimeter  |                                             0 0 0  |                                   0 0 0  | 1437f4   |            Polycone  |0.0*deg 360*deg 7*counts 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 59*mm 59*mm 700*mm 700*mm 238*mm 149*mm 126*mm 1810*mm 1844.5*mm 1844.5*mm 2098*mm 2276*mm 2276*mm 2663*mm  |                 Air  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
ft_cal_crystal_volume  |              ft_cal  | ft calorimeter crystal volume  |                                             0 0 0  |                                   0 0 0  | 1437f4   |            Polycone  |0.0*deg 360*deg 2*counts 51*mm 51*mm 180.5*mm 180.5*mm 1887.9*mm 2164.2*mm  |                 Air  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    ft_cr_volume_1_9  |ft_cal_crystal_volume  |ft crystal mother volume (h:1, v:9)  |                      -160.65*mm -38.25*mm 1994*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                      7.65*mm 7.65*mm 104*mm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       ft_cr_apd_1_9  |ft_cal_crystal_volume  |     ft crystal apd (h:1, v:9)  |                    -160.65*mm -38.25*mm 2102.5*mm  |                                   0 0 0  | 99CC66   |                 Box  |                                        7.5*mm 7.5*mm 3.5*mm  |                peek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
        ft_cr_wr_1_9  |    ft_cr_volume_1_9  |        ft wrapping (h:1, v:9)  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                    7.565*mm 7.565*mm 104*mm  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           ft_cr_1_9  |        ft_cr_wr_1_9  |         ft crystal (h:1, v:9)  |                                    0*mm 0*mm 4*mm  |                                   0 0 0  | 836FFF   |                 Box  |                                        7.5*mm 7.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                 ih manual 1 iv manual 9 
       ft_cr_led_1_9  |        ft_cr_wr_1_9  |     ft crystal led (h:1, v:9)  |                                 0*mm 0*mm -100*mm  |                                   0 0 0  | EEC900   |                 Box  |                                          7.5*mm 7.5*mm 4*mm  |                peek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
   ft_cr_volume_1_10  |ft_cal_crystal_volume  |ft crystal mother volume (h:1, v:10)  |                      -160.65*mm -22.95*mm 1994*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                      7.65*mm 7.65*mm 104*mm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
