       Torus_ColdHub  |                  fc  |           Torus Cold Hub Ring  |                                0.0*cm 0.0*cm 0*mm  |                       0*deg 0*deg 0*deg  | ffffff   |                Tube  |           87.5*mm 119.888*mm 1050.036*mm  0.0*deg 360.0*deg  |           Component  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     aaa_Torus_part1  |                  fc  |Torus Component #1: parallelepiped part  |                                  0*mm 0.0*cm 0*mm  |                       0*deg 0*deg 0*deg  | ff88bb   |      Parallelepiped  |              950.036*mm 20.9*mm 1700*mm 0*deg -25*deg 0*deg  |           Component  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     aaa_Torus_part2  |                  fc  |Torus Component #2: Box to subtract  |                           -1700*mm 0.0*cm 1200*mm  |                      0*deg 22*deg 0*deg  | ff00ff   |                 Box  |                                 1450.036*mm 120.9*mm 600*mm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     aaa_Torus_part3  |                  fc  |Torus Component #3: aaa_Torus_part1 - aaa_Torus_part2  |                                  0*mm 0.0*cm 0*mm  |                       0*deg 0*deg 0*deg  | ffff66   |Operation: aaa_Torus_part1 - aaa_Torus_part2  |                                                        0*mm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     aaa_Torus_part4  |                  fc  |  Torus Coil: small Box to add  |                            -270*mm 0.0*cm 1180*mm  |                      0*deg 90*deg 0*deg  | ff66ff   |                 Box  |                                       510*mm 20.9*mm 200*mm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     aaa_Torus_part5  |                  fc  |Torus Component #5: aaa_Torus_part3 + aaa_Torus_part4  |                                  0*mm 0.0*cm 0*mm  |                       0*deg 0*deg 0*deg  | ffffff   |Operation: aaa_Torus_part3 + aaa_Torus_part4  |                                                        0*mm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     aaa_Torus_part6  |                  fc  |Torus Coil: Box to add to make front face perperndicolar to beam  |                             -200*mm 0*mm -1505*mm  |                       0*deg 0*deg 0*deg  | ff0000   |                 Box  |                                      120*mm 20.95*mm 200*mm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     aab_Torus_part1  |                  fc  |Torus Component #1: aaa_Torus_part5 + aaa_Torus_part6  |        1550.088*mm 894.944*mm 692.723018863498*mm  |       ordered: yxz -90*deg 30*deg 0*deg  | ffffff   |Operation: aaa_Torus_part5 + aaa_Torus_part6  |                                                        0*mm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     aab_Torus_part2  |                  fc  |Torus Component #2: aaa_Torus_part5 + aaa_Torus_part6  |          0.000*mm 1789.888*mm 692.723018863498*mm  |       ordered: yxz -90*deg 90*deg 0*deg  | ffffff   |Operation: aaa_Torus_part5 + aaa_Torus_part6  |                                                        0*mm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     aab_Torus_part3  |                  fc  |Torus Component #3: aaa_Torus_part5 + aaa_Torus_part6  |       -1550.088*mm 894.944*mm 692.723018863498*mm  |      ordered: yxz -90*deg 150*deg 0*deg  | ffffff   |Operation: aaa_Torus_part5 + aaa_Torus_part6  |                                                        0*mm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     aab_Torus_part4  |                  fc  |Torus Component #4: aaa_Torus_part5 + aaa_Torus_part6  |      -1550.088*mm -894.944*mm 692.723018863498*mm  |      ordered: yxz -90*deg 210*deg 0*deg  | ffffff   |Operation: aaa_Torus_part5 + aaa_Torus_part6  |                                                        0*mm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     aab_Torus_part5  |                  fc  |Torus Component #5: aaa_Torus_part5 + aaa_Torus_part6  |        -0.000*mm -1789.888*mm 692.723018863498*mm  |      ordered: yxz -90*deg 270*deg 0*deg  | ffffff   |Operation: aaa_Torus_part5 + aaa_Torus_part6  |                                                        0*mm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     aab_Torus_part6  |                  fc  |Torus Component #6: aaa_Torus_part5 + aaa_Torus_part6  |       1550.088*mm -894.944*mm 692.723018863498*mm  |      ordered: yxz -90*deg 330*deg 0*deg  | ffffff   |Operation: aaa_Torus_part5 + aaa_Torus_part6  |                                                        0*mm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     aac_Torus_part1  |                  fc  |  Torus Ring + aab_Torus_part1  |                                0.0*cm 0.0*cm 0*mm  |                       0*deg 0*deg 0*deg  | ffffff   |Operation: Torus_ColdHub + aab_Torus_part1  |                                                        0*mm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
