                 fmt  |              bankid  |                                       fmt bank ID  |  500   |                  Di  
                 fmt  |               layer  |                                      layer number  |    1   |                  Di  
                 fmt  |              sector  |                                     sector number  |    2   |                  Di  
                 fmt  |               strip  |                                      strip number  |    3   |                  Di  
                 fmt  |                hitn  |                                        hit number  |   99   |                  Di  
                 bmt  |              bankid  |                                       bmt bank ID  |  200   |                  Di  
                 bmt  |               layer  |                                      layer number  |    1   |                  Di  
                 bmt  |              sector  |                                     sector number  |    2   |                  Di  
                 bmt  |               strip  |                                      strip number  |    3   |                  Di  
                 bmt  |                hitn  |                                        hit number  |   99   |                  Di  
                 ftm  |              bankid  |                                       ftm bank ID  |  470   |                  Di  
                 ftm  |               layer  |                                      layer number  |    1   |                  Di  
                 ftm  |              sector  |                                     sector number  |    2   |                  Di  
                 ftm  |               strip  |                                      strip number  |    3   |                  Di  
                 ftm  |                hitn  |                                        hit number  |   99   |                  Di  
