                                 pcal_s1  |                           fc  |                                      PCAL Sector 1  |        209.6338*cm 0.0000*cm 681.9813*cm  |        ordered: zxy 90.0*deg 25.0*deg 0.0*deg  |     6611ff  |     G4Trap  |        8.9000*cm 0.00*deg 0.00*deg 195.3250*cm 0.0001*cm 199.8000*cm 0.00*deg 195.3250*cm 0.0001*cm 199.8000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     1  |         no  |         no  |                                                           no 
                                 pcal_s2  |                           fc  |                                      PCAL Sector 2  |      104.8169*cm 181.5482*cm 681.9813*cm  |        ordered: zxy 30.0*deg 25.0*deg 0.0*deg  |     6611ff  |     G4Trap  |        8.9000*cm 0.00*deg 0.00*deg 195.3250*cm 0.0001*cm 199.8000*cm 0.00*deg 195.3250*cm 0.0001*cm 199.8000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     1  |         no  |         no  |                                                           no 
                                 pcal_s3  |                           fc  |                                      PCAL Sector 3  |     -104.8169*cm 181.5482*cm 681.9813*cm  |       ordered: zxy -30.0*deg 25.0*deg 0.0*deg  |     6611ff  |     G4Trap  |        8.9000*cm 0.00*deg 0.00*deg 195.3250*cm 0.0001*cm 199.8000*cm 0.00*deg 195.3250*cm 0.0001*cm 199.8000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     1  |         no  |         no  |                                                           no 
                                 pcal_s4  |                           fc  |                                      PCAL Sector 4  |       -209.6338*cm 0.0000*cm 681.9813*cm  |       ordered: zxy -90.0*deg 25.0*deg 0.0*deg  |     6611ff  |     G4Trap  |        8.9000*cm 0.00*deg 0.00*deg 195.3250*cm 0.0001*cm 199.8000*cm 0.00*deg 195.3250*cm 0.0001*cm 199.8000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     1  |         no  |         no  |                                                           no 
                                 pcal_s5  |                           fc  |                                      PCAL Sector 5  |    -104.8169*cm -181.5482*cm 681.9813*cm  |      ordered: zxy -150.0*deg 25.0*deg 0.0*deg  |     6611ff  |     G4Trap  |        8.9000*cm 0.00*deg 0.00*deg 195.3250*cm 0.0001*cm 199.8000*cm 0.00*deg 195.3250*cm 0.0001*cm 199.8000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     1  |         no  |         no  |                                                           no 
                                 pcal_s6  |                           fc  |                                      PCAL Sector 6  |     104.8169*cm -181.5482*cm 681.9813*cm  |      ordered: zxy -210.0*deg 25.0*deg 0.0*deg  |     6611ff  |     G4Trap  |        8.9000*cm 0.00*deg 0.00*deg 195.3250*cm 0.0001*cm 199.8000*cm 0.00*deg 195.3250*cm 0.0001*cm 199.8000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     1  |         no  |         no  |                                                           no 
                       U_view_layer_1_s1  |                        pcal_s1  |                       PCAL Sector 1 U-view Layer 1  |           0.0000*cm 0.0000*cm -8.4000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
                       U_view_layer_4_s1  |                        pcal_s1  |                       PCAL Sector 1 U-view Layer 4  |           0.0000*cm 0.0000*cm -4.8000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
                       U_view_layer_7_s1  |                        pcal_s1  |                       PCAL Sector 1 U-view Layer 7  |           0.0000*cm 0.0000*cm -1.2000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
                      U_view_layer_10_s1  |                        pcal_s1  |                      PCAL Sector 1 U-view Layer 10  |            0.0000*cm 0.0000*cm 2.4000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
                      U_view_layer_13_s1  |                        pcal_s1  |                      PCAL Sector 1 U-view Layer 13  |            0.0000*cm 0.0000*cm 6.0000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
                       U_view_layer_1_s2  |                        pcal_s2  |                       PCAL Sector 2 U-view Layer 1  |           0.0000*cm 0.0000*cm -8.4000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
